match_id,team1,team2,venue,city,date
1000851,Australia,South Africa,Western Australia Cricket Association Ground,Perth,2016-11-03
1000853,Australia,South Africa,Bellerive Oval,Hobart,2016-11-12
1000855,Australia,South Africa,Adelaide Oval,,2016-11-24
1000881,Australia,Pakistan,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2016-12-15
1000883,Australia,Pakistan,Melbourne Cricket Ground,,2016-12-26
1000885,Australia,Pakistan,Sydney Cricket Ground,,2017-01-03
1019985,New Zealand,Bangladesh,Basin Reserve,Wellington,2017-01-12
1019987,New Zealand,Bangladesh,Hagley Oval,Christchurch,2017-01-20
1019993,New Zealand,Pakistan,Hagley Oval,Christchurch,2016-11-17
1019995,New Zealand,Pakistan,Seddon Park,Hamilton,2016-11-25
1020041,New Zealand,South Africa,University Oval,Dunedin,2017-03-08
1020043,New Zealand,South Africa,Basin Reserve,Wellington,2017-03-16
1020045,New Zealand,South Africa,Seddon Park,Hamilton,2017-03-25
1022593,West Indies,India,"Sir Vivian Richards Stadium, North Sound",Antigua,2016-07-21
1022595,West Indies,India,"Sabina Park, Kingston",Jamaica,2016-07-30
1022597,West Indies,India,"Darren Sammy National Cricket Stadium, Gros Islet",St Lucia,2016-08-09
1022599,West Indies,India,"Queen's Park Oval, Port of Spain",Trinidad,2016-08-18
1024041,Zimbabwe,New Zealand,Queens Sports Club,Bulawayo,2016-07-28
1024043,Zimbabwe,New Zealand,Queens Sports Club,Bulawayo,2016-08-06
1029825,Bangladesh,England,Zahur Ahmed Chowdhury Stadium,Chittagong,2016-10-20
1029827,Bangladesh,England,Shere Bangla National Stadium,Mirpur,2016-10-28
1030213,India,New Zealand,Green Park,Kanpur,2016-09-22
1030215,India,New Zealand,Eden Gardens,Kolkata,2016-09-30
1030217,India,New Zealand,Holkar Cricket Stadium,Indore,2016-10-08
1031437,England,South Africa,Lord's,London,2017-07-06
1031439,South Africa,England,Trent Bridge,Nottingham,2017-07-14
1031441,England,South Africa,Kennington Oval,London,2017-07-27
1031443,England,South Africa,Old Trafford,Manchester,2017-08-04
1031659,England,West Indies,Edgbaston,Birmingham,2017-08-17
1031661,England,West Indies,Headingley,Leeds,2017-08-25
1031663,West Indies,England,Lord's,London,2017-09-07
1034809,India,England,Saurashtra Cricket Association Stadium,Rajkot,2016-11-09
1034811,India,England,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2016-11-17
1034813,India,England,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-11-26
1034815,India,England,Wankhede Stadium,Mumbai,2016-12-08
1034817,India,England,"MA Chidambaram Stadium, Chepauk",Chennai,2016-12-16
1041761,India,Bangladesh,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2017-02-09
1050229,Pakistan,West Indies,Dubai International Cricket Stadium,,2016-10-13
1050231,Pakistan,West Indies,Sheikh Zayed Stadium,Abu Dhabi,2016-10-21
1050233,Pakistan,West Indies,Sharjah Cricket Stadium,,2016-10-30
1059702,Zimbabwe,Sri Lanka,Harare Sports Club,,2016-10-29
1059703,Zimbabwe,Sri Lanka,Harare Sports Club,,2016-11-06
1062573,India,Australia,Maharashtra Cricket Association Stadium,Pune,2017-02-23
1062574,India,Australia,M Chinnaswamy Stadium,Bengaluru,2017-03-04
1062575,India,Australia,JSCA International Stadium Complex,Ranchi,2017-03-16
1062576,India,Australia,Himachal Pradesh Cricket Association Stadium,Dharamsala,2017-03-25
1072305,England,Australia,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2017-11-23
1072306,Australia,England,Adelaide Oval,,2017-12-02
1072307,England,Australia,W.A.C.A. Ground,Perth,2017-12-14
1072308,Australia,England,Melbourne Cricket Ground,,2017-12-26
1072309,England,Australia,Sydney Cricket Ground,,2018-01-04
1075502,South Africa,Bangladesh,Senwes Park,Potchefstroom,2017-09-28
1075503,South Africa,Bangladesh,Mangaung Oval,Bloemfontein,2017-10-06
1075982,Australia,South Africa,Kingsmead,Durban,2018-03-01
1075983,Australia,South Africa,St George's Park,Port Elizabeth,2018-03-09
1075984,South Africa,Australia,Newlands,Cape Town,2018-03-22
1075985,South Africa,Australia,The Wanderers Stadium,Johannesburg,2018-03-30
1077953,West Indies,Pakistan,"Sabina Park, Kingston",Jamaica,2017-04-21
1077954,West Indies,Pakistan,"Kensington Oval, Bridgetown",Barbados,2017-04-30
1077955,West Indies,Pakistan,"Windsor Park, Roseau",Dominica,2017-05-10
1083444,Sri Lanka,Bangladesh,Galle International Stadium,,2017-03-07
1083445,Sri Lanka,Bangladesh,P Sara Oval,Colombo,2017-03-15
1086066,England,Australia,"North Sydney Oval, Sydney",Sydney,2017-11-09
1104284,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Dhaka,2017-08-27
1104285,Bangladesh,Australia,Zahur Ahmed Chowdhury Stadium,Chattogram,2017-09-04
1104483,Zimbabwe,Sri Lanka,"R.Premadasa Stadium, Khettarama",Colombo,2017-07-14
1109602,India,Sri Lanka,Galle International Stadium,,2017-07-26
1109603,India,Sri Lanka,Sinhalese Sports Club Ground,Colombo,2017-08-03
1109604,India,Sri Lanka,Pallekele International Cricket Stadium,,2017-08-12
1115780,England,New Zealand,Eden Park,Auckland,2018-03-22
1115781,England,New Zealand,Hagley Oval,Christchurch,2018-03-30
1115793,West Indies,New Zealand,Basin Reserve,Wellington,2017-12-01
1115794,New Zealand,West Indies,Seddon Park,Hamilton,2017-12-09
1119535,England,Pakistan,Lord's,London,2018-05-24
1119536,Pakistan,England,Headingley,Leeds,2018-06-01
1119549,England,India,Edgbaston,Birmingham,2018-08-01
1119550,India,England,Lord's,London,2018-08-09
1119551,India,England,Trent Bridge,Nottingham,2018-08-18
1119552,England,India,The Rose Bowl,Southampton,2018-08-30
1119553,England,India,Kennington Oval,London,2018-09-07
1120284,Sri Lanka,Pakistan,Sheikh Zayed Stadium,Abu Dhabi,2017-09-28
1120285,Sri Lanka,Pakistan,Dubai International Cricket Stadium,,2017-10-06
1122276,South Africa,India,Newlands,Cape Town,2018-01-05
1122277,South Africa,India,SuperSport Park,Centurion,2018-01-13
1122278,India,South Africa,The Wanderers Stadium,Johannesburg,2018-01-24
1122310,South Africa,Zimbabwe,"St George's Park, Port Elizabeth",Port Elizabeth,2017-12-26
1122723,India,Sri Lanka,Eden Gardens,Kolkata,2017-11-16
1122724,Sri Lanka,India,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,2017-11-24
1122725,India,Sri Lanka,Arun Jaitley Stadium,Delhi,2017-12-02
1122886,West Indies,Zimbabwe,Queens Sports Club,Bulawayo,2017-10-21
1122887,Zimbabwe,West Indies,Queens Sports Club,Bulawayo,2017-10-29
1127284,Ireland,Pakistan,"The Village, Malahide",Dublin,2018-05-11
1130744,Bangladesh,Sri Lanka,Zahur Ahmed Chowdhury Stadium,Chattogram,2018-01-31
1130745,Sri Lanka,Bangladesh,"Shere Bangla National Stadium, Mirpur",Dhaka,2018-02-08
1135149,West Indies,Sri Lanka,"Queen's Park Oval, Port of Spain",Trinidad,2018-06-06
1135150,Sri Lanka,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,2018-06-14
1135151,West Indies,Sri Lanka,"Kensington Oval, Bridgetown",Barbados,2018-06-23
1140385,England,Sri Lanka,Galle International Stadium,,2018-11-06
1140386,England,Sri Lanka,Pallekele International Cricket Stadium,,2018-11-14
1140387,England,Sri Lanka,Sinhalese Sports Club Ground,Colombo,2018-11-23
1142581,Sri Lanka,South Africa,Galle International Stadium,,2018-07-12
1142582,Sri Lanka,South Africa,Sinhalese Sports Club Ground,Colombo,2018-07-20
1144153,South Africa,Pakistan,SuperSport Park,Centurion,2018-12-26
1144154,South Africa,Pakistan,Newlands,Cape Town,2019-01-03
1144155,South Africa,Pakistan,The Wanderers Stadium,Johannesburg,2019-01-11
1144164,South Africa,Sri Lanka,Kingsmead,Durban,2019-02-13
1144165,South Africa,Sri Lanka,St George's Park,Port Elizabeth,2019-02-21
1144993,India,Australia,Adelaide Oval,,2018-12-06
1144994,Australia,India,Perth Stadium,,2018-12-14
1144995,Australia,India,Melbourne Cricket Ground,Melbourne,2018-12-26
1144996,Australia,India,Sydney Cricket Ground,Sydney,2019-01-03
1145000,Australia,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",Brisbane,2019-01-24
